project_length_Days,project_length_Hours,project_length_Weeks,project_length_Months,issue_len_description,time_limit,have_changed,bounty_type_Bug,bounty_type_Code_Review,bounty_type_Design,bounty_type_Documentation,bounty_type_Feature,bounty_type_Improvement,bounty_type_Other,bounty_type_Project,bounty_type_Security,experience_level_Advanced,experience_level_Intermediate,experience_level_Beginner,bounty_num,bounty_change_num,bounty_amount,title_len,never_expires,owner_follwers,owner_following,owner_grants_contributed,issue_index,until_time,until_fulfilment
False,False,False,True,3,2,1,False,False,False,False,False,False,False,True,False,True,False,False,55,0,10000.0,76,0,117391,117281,495,190,42,1
True,False,False,False,414,-13,1,True,False,False,False,False,False,False,False,False,False,False,True,56,0,252.69,55,0,117391,117281,495,20,27,1
True,False,False,False,215,-5,1,False,False,False,False,True,False,False,False,False,False,True,False,2,0,631.72,31,0,80,71,0,18,35,1
True,False,False,False,2377,6,1,False,False,False,False,False,False,False,True,False,True,False,False,57,0,4001.0,65,0,117391,117281,495,22,44,1
True,False,False,False,2625,-17,1,False,False,False,False,False,False,False,True,False,True,False,False,58,0,3000.0,47,0,117391,117281,495,27,21,1
True,False,False,False,4258,-43,1,False,False,False,False,False,False,False,False,True,False,True,False,59,0,2000.0,58,0,117391,117281,495,198,3,1
True,False,False,False,1041,0,1,False,False,False,False,True,False,False,False,False,False,True,False,60,0,150.0,57,0,0,0,0,179,0,0
False,False,False,True,1442,1,1,False,False,False,False,False,False,False,True,False,False,False,True,61,0,10000.0,74,0,117391,117281,495,206,29,1
False,False,False,True,1405,13,1,False,False,False,False,False,False,False,True,False,False,False,True,62,0,10000.0,37,0,117391,117281,495,195,42,1
True,False,False,False,3,-27,1,True,False,False,False,False,False,False,False,False,True,False,False,63,0,10.0,72,0,117391,117281,495,208,1,1
False,False,True,False,3700,351,1,False,False,False,False,True,False,False,False,False,False,True,False,64,0,6400.0,26,0,0,0,0,205,27,1
False,True,False,False,3,-54,1,False,False,False,False,False,False,False,True,False,False,True,False,65,0,1.0,59,0,117391,117281,495,34,-27,1
False,False,False,True,141,-6,1,False,False,False,False,True,False,False,False,False,False,True,False,3,0,1500.0,61,0,80,71,0,6,-6,0
False,True,False,False,764,361,1,False,False,False,False,False,False,True,False,False,False,False,True,0,0,250.0,66,0,100,103,3,1089,361,0
True,False,False,False,735,-20,1,False,False,False,False,False,False,True,False,False,False,False,True,5,0,250.0,18,0,117391,117281,495,87,1,1
False,True,False,False,866,8,1,False,False,False,False,False,False,True,False,False,False,False,True,66,0,250.0,20,0,117391,117281,495,38,30,1
False,False,True,False,543,-3,1,False,False,False,False,False,False,False,True,False,False,True,False,0,0,100.0,41,0,117391,117281,495,1,18,1
False,True,False,False,2113,-2,1,False,False,False,False,False,False,False,True,False,False,True,False,0,0,100.0,35,0,117391,117281,495,2,19,1
False,True,False,False,2113,-1,1,False,False,False,False,False,False,False,True,False,False,True,False,4,0,100.0,27,0,80,71,0,7,-1,0
False,True,False,False,2296,333,1,False,False,False,False,False,False,False,True,False,False,True,False,3,0,100.0,20,0,117391,117281,495,775,1,1
True,False,False,False,325,333,1,False,False,False,False,True,False,False,False,False,False,True,False,4,0,100.0,13,0,117391,117281,495,774,1,1
True,False,False,False,505,304,1,False,False,False,False,True,False,False,False,False,False,True,False,0,0,100.0,57,0,0,0,0,1,304,0
False,True,False,False,1339,-23,1,False,False,False,False,True,False,False,False,False,False,True,False,0,0,200.0,60,0,0,0,0,1,3,1
True,False,False,False,3,13,1,False,False,False,False,False,False,False,True,False,False,True,False,5,0,500.0,22,0,117391,117281,495,218,13,0
False,True,False,False,3,-5,1,False,False,False,False,False,False,False,True,False,True,False,False,6,0,2000.0,71,0,117391,117281,495,85,15,1
False,False,True,False,3098,-20,1,False,False,False,False,False,False,False,True,False,False,True,False,67,0,400.0,52,0,117391,117281,495,221,-1,1
False,True,False,False,3283,-32,1,False,False,False,False,False,True,False,False,False,False,True,False,68,0,5130.67,20,0,117391,117281,495,233,-14,1
True,False,False,False,293,364,1,False,False,False,False,True,False,False,False,False,False,True,False,6,0,500.0,55,0,7,6,0,678,364,0
False,True,False,False,3,0,1,False,False,False,False,False,False,False,True,False,True,False,False,5,0,2000.0,89,0,80,71,0,8,22,1
False,False,True,False,3,364,1,False,False,False,False,False,False,False,True,False,False,True,False,7,0,10.0,39,0,0,0,0,44,364,0
False,True,False,False,7021,360,1,False,False,False,False,False,False,False,True,False,False,True,False,8,0,3000.0,48,0,0,0,0,44,21,1
False,True,False,False,3269,324,1,False,False,False,False,True,False,False,False,False,False,True,False,9,0,1600.0,31,0,0,0,0,492,324,0
False,True,False,False,1924,316,1,False,False,False,False,True,False,False,False,False,False,True,False,10,0,800.0,123,0,0,0,0,549,316,0
True,False,False,False,2178,-7,1,False,False,False,False,True,False,False,False,False,True,False,False,6,0,400.0,34,0,80,71,0,1,15,1
True,False,False,False,408,-5,1,False,False,False,False,False,True,False,False,False,False,True,False,7,0,80.0,38,0,80,71,0,2,16,1
False,True,False,False,3,-11,1,False,False,False,False,False,False,False,True,False,False,True,False,69,0,20000.0,37,0,117391,117281,495,261,-2,1
True,False,False,False,3,-35,1,True,False,False,False,False,False,False,False,False,True,False,False,5,0,10.0,37,0,117391,117281,495,437,-26,1
False,True,False,False,183,361,1,False,False,False,False,True,False,False,False,False,True,False,False,11,0,1500.0,31,0,0,0,0,14,19,1
True,False,False,False,894,86,1,False,False,False,False,False,True,False,False,False,False,True,False,0,0,120.0,39,0,0,0,0,1,18,1
False,False,True,False,3,364,1,False,True,False,False,False,False,False,False,False,True,False,False,0,0,300.0,86,0,7,6,0,9999,364,0
True,False,False,False,600,5,1,True,False,False,False,False,False,False,False,False,False,True,False,8,0,100.0,85,0,80,71,0,3,21,1
True,False,False,False,1598,-78,1,False,False,False,False,False,True,False,False,False,False,True,False,1,0,126.34,22,0,7,6,0,7888,-56,1
True,False,False,False,3,-78,1,True,False,False,False,False,False,False,False,False,False,False,True,2,0,0.0,31,0,7,6,0,7444,-56,1
False,False,True,False,3,-78,1,False,False,False,False,False,False,False,True,False,False,True,False,3,0,20000.0,73,0,7,6,0,6885,-78,0
True,False,False,False,373,-78,1,False,False,False,False,True,False,False,False,False,False,True,False,4,0,400.0,57,0,7,6,0,8545,-78,0
True,False,False,False,313,-78,1,False,False,False,False,True,False,False,False,False,False,True,False,5,0,600.0,60,0,7,6,0,3423,-78,0
True,False,False,False,110,-78,1,False,False,False,False,True,False,False,False,False,False,True,False,6,0,400.0,38,0,7,6,0,3795,-78,0
True,False,False,False,235,-78,1,False,False,False,False,True,False,False,False,False,False,True,False,7,0,200.0,36,0,7,6,0,3797,-55,1
True,False,False,False,2152,-78,1,False,False,False,False,False,True,False,False,False,False,False,True,8,0,100.0,24,0,7,6,0,3801,-55,1
False,True,False,False,804,-65,1,False,False,False,False,False,True,False,False,False,True,False,False,1,0,100.0,12,0,117391,117281,495,44,-65,0
False,False,False,True,695,-78,1,False,False,False,False,False,False,False,True,False,False,True,False,9,0,860.0,50,0,7,6,0,3892,-55,1
False,False,False,True,1397,337,1,False,False,False,False,False,False,False,True,False,False,True,False,12,0,2580.0,46,0,0,0,0,577,-6,1
False,False,False,True,1384,-2,1,False,False,False,False,False,False,False,True,False,True,False,False,1,0,3225.0,77,0,0,0,0,12,6,1
False,False,False,True,1255,288,1,False,False,False,False,False,False,False,True,False,True,False,False,0,0,1720.0,22,0,0,0,0,1,288,0
False,False,False,True,1441,351,1,False,False,False,False,False,False,False,True,False,True,False,False,13,0,4300.0,47,0,0,0,0,302,7,1
False,True,False,False,3011,13,1,False,False,False,False,True,False,False,False,False,False,True,False,70,0,3000.0,76,0,117391,117281,495,270,20,1
False,False,False,True,1180,-63,1,False,False,False,False,False,False,False,True,False,True,False,False,2,0,1068.75,31,0,117391,117281,495,24,-63,0
False,True,False,False,3,-5,1,False,False,False,False,False,False,False,True,False,False,False,True,9,0,5.0,36,0,80,71,0,7,-5,0
False,False,True,False,1046,-62,1,False,False,False,False,False,False,False,True,False,False,True,False,71,0,100.0,42,0,117391,117281,495,234,-62,0
True,False,False,False,5,364,1,True,False,False,False,False,False,False,False,False,False,False,True,0,0,279.03,66,0,0,0,0,37,19,1
False,True,False,False,3,-62,1,False,False,False,False,False,False,False,True,False,False,True,False,72,0,20000.0,49,0,117391,117281,495,278,-40,1
False,True,False,False,3,-72,1,False,False,False,False,False,False,False,True,False,False,True,False,10,0,20000.0,35,0,80,71,0,6,-72,0
False,True,False,False,6923,-66,1,False,False,False,False,False,False,False,True,False,False,True,False,1,0,20000.0,74,0,0,0,0,39,-50,2
False,False,True,False,2450,-59,1,False,False,False,False,False,False,False,True,False,False,True,False,3,0,14000.0,31,0,117391,117281,495,21,-55,1
False,False,True,False,2505,292,1,False,False,False,False,False,False,False,True,False,False,False,True,1,0,9900.0,21,0,0,0,0,2,292,0
False,False,True,False,2527,-72,1,False,False,False,False,False,False,False,True,False,False,True,False,10,0,14000.0,93,0,7,6,0,9878,-55,2
False,False,True,False,2450,-58,1,False,False,False,False,False,False,False,True,False,False,True,False,4,0,14000.0,35,0,117391,117281,495,8,-58,0
False,False,True,False,2450,-72,1,False,False,False,False,False,False,False,True,False,False,True,False,11,0,14000.0,22,0,7,6,0,9888,-55,6
False,True,False,False,665,293,1,True,False,False,False,False,False,False,False,False,False,True,False,1,0,150.0,31,0,0,0,0,990,293,0
False,False,True,False,672,-71,1,True,False,False,False,False,False,False,False,False,False,True,False,12,0,150.0,26,0,7,6,0,10000,-71,0
True,False,False,False,3996,-71,1,False,False,False,False,False,False,True,False,False,False,False,True,13,0,100.0,33,0,7,6,0,11000,-55,6
True,False,False,False,4906,-71,1,False,False,False,False,False,False,True,False,False,False,False,True,14,0,500.0,34,0,7,6,0,9998,-55,4
